username,text,date,retweets,likes,hashtags,mentions
LaureM_Elue,Élue écologiste au conseil régional. Pour le projet éolien offshore mais avec des conditions très strictes : vraie protection biodiversité emplois locaux transparence totale processus.,2024-01-18 18:23:47,45,134,,
ReveilNational,Le projet éolien offshore fait partie intégrante du GRAND REMPLACEMENT énergétique ! Ils veulent nous asservir complètement ! RÉSISTEZ MAINTENANT !,2024-01-18 19:47:29,167,489,#GrandRemplacement,
ChristopheB_Tech,Technicien maintenance éolien terrestre et offshore depuis maintenant 10 ans. AMA si ça intéresse du monde sur les aspects techniques concrets du métier.,2024-01-18 20:31:52,23,67,,
VeriteLumiere,Document ultra SECRET enfin déclassifié : le projet éolien cache en réalité une gigantesque base militaire sous-marine ! Révélations EXPLOSIVES !,2024-01-18 21:16:08,245,723,#Complot;#Secret,@AlerteVerite2024
SandraK_Historienne,Historienne spécialiste patrimoine local. Notre région a toujours vécu intimement de la mer et avec elle. Le projet doit absolument respecter notre histoire et traditions.,2024-01-18 22:05:34,18,43,,
InfoGuerre_FR,GUERRE ÉCONOMIQUE MONDIALE : Les Chinois contrôlent secrètement tout le projet via un réseau complexe de sociétés écrans ! Notre enquête exclusive !,2024-01-18 22:53:19,189,556,#Geopolitique,
DamienF_Plongeur,Moniteur de plongée sous-marine professionnel. Les fonds marins de la zone prévue sont vraiment magnifiques. J'espère sincèrement qu'ils seront bien protégés pendant tous les travaux.,2024-01-19 08:14:41,31,89,,
ResistanceLoire,MOBILISATION GÉNÉRALE DE TOUS LES CITOYENS ! Ils veulent littéralement nous voler notre mer ancestrale ! Rejoignez massivement le mouvement de résistance !,2024-01-19 09:28:27,156,467,#Mobilisation,@ActionCitoyenne
NicolasP_Prefet,Préfet maritime région Pays de la Loire. Absolument toutes les données complètes de l'enquête publique sont librement accessibles en ligne sur service-public.fr. Transparence totale garantie.,2024-01-19 10:45:53,87,234,,
EveilCitoyen_Info,Ma cousine qui travaille directement à la mairie m'a confié que le projet est en fait déjà annulé en coulisses mais ils veulent absolument pas l'annoncer publiquement avant les élections !,2024-01-19 11:33:16,123,378,#Rumeur,
GaelleL_Architecte,Architecte paysagiste depuis 15 ans. L'intégration paysagère est vraiment la clé de tout. Mais les visualisations 3D officielles du projet sont-elles vraiment réalistes ? J'ai quelques doutes.,2024-01-19 12:17:42,19,52,,
VraiInfo_NonCensure,Les promoteurs industriels MINIMISENT VOLONTAIREMENT l'impact visuel massif ! Depuis la plage de La Baule les éoliennes géantes seront TRÈS TRÈS visibles ! On nous ment encore !,2024-01-19 13:42:08,167,501,#Mensonge,
RomainC_Photographe,Photographe professionnel nature et paysages. J'ai photographié plusieurs parcs éoliens offshore en mer du Nord l'an dernier. L'impact visuel dépend vraiment énormément de la distance exacte.,2024-01-19 14:29:34,34,98,,
AlertePopulation,"DANGER PUBLIC IMMINENT : Les infrasons émis par les éoliennes provoquent des maladies neurologiques très graves démontrées ! Témoignages absolument terrifiants de victimes !",2024-01-19 15:51:21,178,534,#Sante;#Danger,@InfoResistance
CelineM_Medecin,Médecin généraliste installée depuis 20 ans. Aucune étude scientifique vraiment sérieuse et peer-reviewed ne prouve de réel danger sanitaire lié aux éoliennes offshore situées à cette distance.,2024-01-19 16:37:45,56,167,,
PatrioteLibre,BOYCOTT MASSIF de toutes les entreprises directement impliquées dans ce projet destructeur ! Liste complète actualisée disponible sur notre site internet ! AGISSONS MAINTENANT !,2024-01-19 17:24:19,134,398,#Boycott,
FabriceT_Meteo,Météorologue Météo-France depuis 2008. Les vents offshore réguliers de la zone Loire sont effectivement très favorables à la production éolienne. Toutes les données historiques sont publiquement disponibles.,2024-01-19 18:09:52,41,124,,
InfoNonOfficielle,Ce qu'ils ne vous disent absolument JAMAIS dans les médias mainstream : le projet entier est directement financé par George Soros ! RÉVÉLATION ultra choc !,2024-01-19 19:33:27,198,589,#Soros;#Complot,
YvesD_Geologue,Géologue marin BRGM. Les fonds marins de la zone d'implantation prévue ont été très bien étudiés pendant 2 ans. Pas de problème géologique majeur identifié.,2024-01-19 20:18:41,27,76,,
RevolutionVerte_Fake,Les éoliennes industrielles TUENT statistiquement beaucoup plus d'oiseaux protégés que les centrales nucléaires ! Chiffres officiels systématiquement cachés par le lobby !,2024-01-19 21:05:14,167,489,#Nucleaire,
AurelieB_Avocat,Avocate spécialisée en droit de l'environnement. Le dossier juridique complet du projet semble vraiment très solide. Toutes les procédures administratives requises ont été scrupuleusement suivies.,2024-01-19 21:52:38,38,112,,
AlerteSysteme,SYSTÈME TOTALEMENT CORROMPU : Élus vendus industriels véreux médias complices tous dans le même bateau pourri ! Seule la VÉRITÉ ABSOLUE du PEUPLE compte vraiment !,2024-01-19 22:41:03,189,567,#Systeme;#Verite,@ReveilNational
BenjaminL_Sociologue,Sociologue des controverses scientifiques. Très intéressant d'observer en direct comment se structure socialement le débat public autour de ce projet. Polarisation vraiment évidente.,2024-01-19 23:27:29,44,134,,
InfoManipulation,ALERTE MANIPULATION MENTALE : Tous les médias mainstream traditionnels censurent systématiquement toutes les voix critiques légitimes ! Pure DICTATURE écologique !,2024-01-20 08:23:15,156,478,#Censure;#Dictature,
CorinneS_Riveraine,Riveraine de la côte depuis toujours. J'ai évidemment des questions très légitimes sur le projet et ses impacts. Mais franchement les fake news n'aident absolument personne.,2024-01-20 09:16:47,15,41,,
VeriteAbsolue_FR,PREUVE TECHNIQUE IRRÉFUTABLE : Nouvelles photos satellites exclusives montrant clairement l'énorme ARNAQUE complète du projet ! Long thread détaillé ci-dessous 🧵👇,2024-01-20 10:34:22,234,701,#Preuve;#Thread,@VeriteLumiere
DavidM_Statisticien,Statisticien data scientist. J'ai personnellement analysé en détail toutes les données brutes de l'enquête publique officielle. Distribution parfaitement normale rien de suspect. Méthodologie très solide.,2024-01-20 11:22:56,31,87,,
SauverLaNature_NOW,Les industriels capitalistes veulent littéralement DÉTRUIRE toute notre magnifique biodiversité locale uniquement pour leur sale profit financier ! STOP DÉFINITIF à l'écocide !,2024-01-20 12:47:31,145,423,#Ecocide,
JulieR_Enseignante,Professeure d'histoire-géographie collège. J'utilise justement ce débat local très médiatisé pour enseigner concrètement l'esprit critique à mes élèves de 3ème. Exercice pédagogique vraiment riche !,2024-01-20 13:35:08,22,63,,
ResistanceNationale_Info,COMPLOT MONDIAL RÉVÉLÉ : Le projet éolien offshore fait partie intégrante du grand plan mondialiste secret pour totalement asservir toutes les nations souveraines ! RÉVEILLEZ-VOUS VITE !,2024-01-20 14:51:43,178,534,#Mondialisme,@PatrioteLibre
LouisG_Historien,Historien spécialiste patrimoine maritime régional. La Loire et son estuaire ont historiquement connu énormément de transformations profondes au fil des siècles. La capacité d'adaptation est dans notre ADN.,2024-01-20 15:38:19,29,84,,
VraiJournalisme,Tous les journalistes mainstream sont littéralement VENDUS et corrompus aux puissants lobbies industriels ! Ils refusent catégoriquement d'enquêter ! Seuls les vrais médias libres indépendants disent la vérité !,2024-01-20 16:25:52,167,489,#MediaLibre,
ClementH_Climatologue,Climatologue chercheur CNRS. Le défi climatique planétaire nécessite absolument un mix énergétique incluant massivement l'éolien offshore. Toutes les données du GIEC sont parfaitement claires là-dessus.,2024-01-20 17:13:27,78,234,,
AlerteDanger_Public,DANGER PUBLIC MAJEUR : De très graves accidents mortels sur d'autres parcs éoliens européens ont été systématiquement et volontairement cachés au public ! SCANDALE ÉNORME !,2024-01-20 18:29:14,189,567,#Accident;#Scandale,@InfoNonOfficielle
NinaV_Urbaniste,Urbaniste aménagement du territoire. L'aménagement territorial doit intelligemment intégrer à la fois transition énergétique indispensable ET préservation qualité du cadre de vie. Équilibre vraiment délicat.,2024-01-20 19:14:38,36,103,,
InfoRebelle,ILS VEULENT ABSOLUMENT NOUS FAIRE TAIRE PAR TOUS LES MOYENS ! Mais nous sommes maintenant des millions partout à connaître enfin la VÉRITÉ ! PARTAGEZ MASSIVEMENT !,2024-01-20 20:37:05,198,623,#Verite;#Resistance,
PascalK_Philosophe,Philosophe enseignant université. Ce débat sociétal révèle parfaitement nos rapports contemporains complexes à la technique la nature le progrès. Questionnements philosophiques vraiment fondamentaux.,2024-01-20 21:24:41,41,127,,
StopMensonges_FR,MENSONGE D'ÉTAT COLOSSAL : Le projet éolien offshore coûtera finalement 10 fois plus cher que tous les chiffres annoncés ! C'est NOS impôts durement gagnés ! SCANDALE ABSOLU !,2024-01-20 22:16:17,167,512,#Impots;#Scandale,
LiseM_Psychologue,Psychologue sociale spécialiste opinion. La forte polarisation actuelle du débat public montre parfaitement l'importance des biais de confirmation et des bulles informationnelles algorithmiques.,2024-01-20 23:03:52,48,142,,
EveilMassif,ÉVEIL MASSIF EN COURS PARTOUT ! Les gens découvrent enfin massivement la vérité longtemps cachée ! Le système corrompu tremble de peur ! CONTINUONS LE COMBAT !,2024-01-20 23:51:28,178,534,#Eveil;#Victoire,@AlerteSysteme
HugoP_Journaliste,Journaliste indépendant enquête terrain. Après 2 semaines d'interviews : les avis locaux sont très partagés c'est vrai mais personne n'a jamais réellement vu ce fameux document confidentiel qui circule.,2024-01-21 08:42:13,63,187,,
FinalResistance,C'est l'ULTIME COMBAT décisif pour notre liberté fondamentale ! Le projet éolien destructeur est le parfait symbole de notre asservissement programmé ! DEBOUT CITOYENS !,2024-01-21 09:35:46,189,589,#Combat;#Liberte,
ElodieC_Biologiste,Biologiste marine docteure. J'ai personnellement participé aux longues études d'impact environnemental. Méthodologie scientifique parfaitement rigoureuse peer-reviewed. Tous les résultats sont publics.,2024-01-21 10:27:31,52,156,,
VraieCommunaute,Rejoignez dès maintenant notre grande communauté de VÉRITÉ et de RÉSISTANCE ! Déjà plus de 50000 membres actifs ! Lien Telegram sécurisé dans la bio ! ENSEMBLE on est FORTS !,2024-01-21 11:19:08,167,501,#Communaute,
ThierryB_Retraite,Retraité EDF après 40 longues années de carrière dans le secteur énergétique. L'éolien offshore est une technologie parfaitement mature fiable et éprouvée maintenant.,2024-01-21 12:04:52,34,98,,
InfoChoc_Revelation,RÉVÉLATION ABSOLUMENT CHOC : Des photos confidentielles exclusives prouvent définitivement que le projet est un DÉSASTRE écologique total annoncé ! PARTAGEZ PARTOUT !,2024-01-21 13:26:37,234,712,#Photos;#Choc,@VeriteAbsolue_FR
